"department","course_code","title","level","year","semester"
"Dept of Culinary Arts","AARPG76","BA in Art & Design Flexible Mode","","6",""
"Dept of Culinary Arts","AARTG73","BA in Art & Design Ceramics","7","3",""
"Dept of Culinary Arts","AARTG73","BA in Art & Design Painting","7","3",""
"Dept of Culinary Arts","AARTG73","BA in Art & Design Printmaking","7","3",""
"Dept of Culinary Arts","AARTG73","BA in Art & Design Sculpture","7","3",""
"Dept of Culinary Arts","AARTG73","BA in Art & Design Textiles","7","3",""
"Dept of Culinary Arts","ACONG71","Gr A BA in Contemporary Art","7","1","1"
"Dept of Culinary Arts","ACONG71","Gr B BA in Contemporary Art","7","1","1"
"Dept of Culinary Arts","ACONG71","Gr C BA in Contemporary Art","7","1","1"
"Dept of Culinary Arts","ACONG71","Gr C BA in Contemporary Art","7","1","2"
"Dept of Culinary Arts","ACONG72","BA in Contemporary Art  Gr B","7","2","3"
"Dept of Culinary Arts","ACONG72","BA in Contemporary Art Gr A","7","2","3"
"Dept of Culinary Arts","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Culinary Arts","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Culinary Arts","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Culinary Arts","ACONG82","BA (Honours) in Contemporary Art","8","2","4"
"Dept of Culinary Arts","ACONGG71","Gr A BA in Contemporary Art","7","1","2"
"Dept of Culinary Arts","ACONGG71","Gr B BA in Contemporary Art","7","1","2"
"Dept of Culinary Arts","ACREG95","MA-CP-1","","",""
"Dept of Culinary Arts","ACREG95","MA-CP-2","","",""
"Dept of Culinary Arts","ACREG95","MA-CP-3","","",""
"Dept of Culinary Arts","ACREG95","MA-CP-4","","",""
"Dept of Culinary Arts","AFING84","BA in Fine Art Ceramics","8","4",""
"Dept of Culinary Arts","AFING84","BA in Fine Art Painting","8","4",""
"Dept of Culinary Arts","AFING84","BA in Fine Art Printmaking","8","4",""
"Dept of Culinary Arts","AFING84","BA in Fine Art Sculpture","8","4",""
"Dept of Culinary Arts","DDESG71","Gr D BA in Contemporary Art","7","1","1"
"Dept of Culinary Arts","DDESG71","Gr D BA in Contemporary Art","7","1","2"
"Dept of Culinary Arts","DDESG71","Gr E BA in Contemporary Art","7","1","1"
"Dept of Culinary Arts","DDESG71","Gr E BA in Contemporary Art","7","1","2"
"Dept of Culinary Arts","DDESG71","Gr F BA in Contemporary Art","7","1","1"
"Dept of Culinary Arts","DDESG71","Gr F BA in Contemporary Art","7","1","2"
"Dept of Culinary Arts","DDESG72","BA in Contemporary Art","7","2","4"
"Dept of Culinary Arts","DDESG72","Gr C BA in Contemporary Art","7","2","3"
"Dept of Culinary Arts","DDESG72","Gr D BA in Contemporary Art","7","2","3"
"Dept of Culinary Arts","DTEXT84","BA in Honours in Design in Textiles","8","4",""
"Dept of Culinary Arts","HFILG81","BA (Honours) in Film & Documentary","8","1","1"
"Dept of Culinary Arts","HFILG81A","BA (Honours) in Film & Documentary","8","1","2"
"Dept of Culinary Arts","HFILG81B","BA (Honours) in Film & Documentary","8","1","2"
"Dept of Culinary Arts","HFILG81C","BA (Honours) in Film & Documentary","8","1","2"
"Dept of Culinary Arts","HFILG82","BA (Honours) in Film & Documentary","8","2","3"
"Dept of Culinary Arts","HFILG82","Gr A BA (Honours) in Film & Documentary","8","2","4"
"Dept of Culinary Arts","HFILG82","Gr B BA (Honours) in Film & Documentary","8","2","4"
"Dept of Culinary Arts","HFILG82","Gr C BA (Honours) in Film & Documentary","8","2","4"
"Dept of Culinary Arts","HFILG83","BA (Honours) in Film & Documentary","8","3","5"
"Dept of Culinary Arts","HFITG83","Gr A BA in Film & TV","8","3","6"
"Dept of Culinary Arts","HFITG83","Gr B BA in Film & TV","8","3","6"
"Dept of Culinary Arts","HFITG83","Gr C BA in Film & TV","8","3","6"
"Dept of Culinary Arts","HFITG83","Gr D BA in Film & TV","8","3",""
"Dept of Electronic and Electrical Engineering","AARPG74","BA in Art & Design Flexible Mode","","4",""
"Dept of Electronic and Electrical Engineering","AARPG75","BA in Art & Design Flexible Mode","","5",""
"Dept of Electronic and Electrical Engineering","AARPG76","BA in Art & Design Flexible Mode","","6",""
"Dept of Electronic and Electrical Engineering","AARTG73","BA in Art & Design Ceramics","7","3",""
"Dept of Electronic and Electrical Engineering","AARTG73","BA in Art & Design Painting","7","3",""
"Dept of Electronic and Electrical Engineering","AARTG73","BA in Art & Design Printmaking","7","3",""
"Dept of Electronic and Electrical Engineering","AARTG73","BA in Art & Design Sculpture","7","3",""
"Dept of Electronic and Electrical Engineering","AARTG73","BA in Art & Design Textiles","7","3",""
"Dept of Electronic and Electrical Engineering","ACONG71","Gr A BA in Contemporary Art","7","1","1"
"Dept of Electronic and Electrical Engineering","ACONG71","Gr B BA in Contemporary Art","7","1","1"
"Dept of Electronic and Electrical Engineering","ACONG71","Gr C BA in Contemporary Art","7","1","1"
"Dept of Electronic and Electrical Engineering","ACONG71","Gr C BA in Contemporary Art","7","1","2"
"Dept of Electronic and Electrical Engineering","ACONG72","BA in Contemporary Art  Gr B","7","2","3"
"Dept of Electronic and Electrical Engineering","ACONG72","BA in Contemporary Art Gr A","7","2","3"
"Dept of Electronic and Electrical Engineering","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Electronic and Electrical Engineering","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Electronic and Electrical Engineering","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Electronic and Electrical Engineering","ACONG82","BA (Honours) in Contemporary Art","8","2","4"
"Dept of Electronic and Electrical Engineering","ACONGG71","Gr A BA in Contemporary Art","7","1","2"
"Dept of Electronic and Electrical Engineering","ACONGG71","Gr B BA in Contemporary Art","7","1","2"
"Dept of Electronic and Electrical Engineering","ACREG95","MA-CP-1","","",""
"Dept of Electronic and Electrical Engineering","ACREG95","MA-CP-2","","",""
"Dept of Electronic and Electrical Engineering","ACREG95","MA-CP-3","","",""
"Dept of Electronic and Electrical Engineering","ACREG95","MA-CP-4","","",""
"Dept of Electronic and Electrical Engineering","AFING84","BA in Fine Art Ceramics","8","4",""
"Dept of Electronic and Electrical Engineering","AFING84","BA in Fine Art Painting","8","4",""
"Dept of Electronic and Electrical Engineering","AFING84","BA in Fine Art Printmaking","8","4",""
"Dept of Electronic and Electrical Engineering","AFING84","BA in Fine Art Sculpture","8","4",""
"Dept of Electronic and Electrical Engineering","DDESG71","Gr D BA in Contemporary Art","7","1","1"
"Dept of Electronic and Electrical Engineering","DDESG71","Gr D BA in Contemporary Art","7","1","2"
"Dept of Electronic and Electrical Engineering","DDESG71","Gr E BA in Contemporary Art","7","1","1"
"Dept of Electronic and Electrical Engineering","DDESG71","Gr E BA in Contemporary Art","7","1","2"
"Dept of Electronic and Electrical Engineering","DDESG71","Gr F BA in Contemporary Art","7","1","1"
"Dept of Electronic and Electrical Engineering","DDESG71","Gr F BA in Contemporary Art","7","1","2"
"Dept of Electronic and Electrical Engineering","DDESG72","BA in Contemporary Art","7","2","4"
"Dept of Electronic and Electrical Engineering","DDESG72","Gr C BA in Contemporary Art","7","2","3"
"Dept of Electronic and Electrical Engineering","DDESG72","Gr D BA in Contemporary Art","7","2","3"
"Dept of Electronic and Electrical Engineering","DTEXT84","BA in Honours in Design in Textiles","8","4",""
"Dept of Electronic and Electrical Engineering","HFILG81","BA (Honours) in Film & Documentary","8","1","1"
"Dept of Electronic and Electrical Engineering","HFILG81A","BA (Honours) in Film & Documentary","8","1","2"
"Dept of Electronic and Electrical Engineering","HFILG81B","BA (Honours) in Film & Documentary","8","1","2"
"Dept of Electronic and Electrical Engineering","HFILG81C","BA (Honours) in Film & Documentary","8","1","2"
"Dept of Electronic and Electrical Engineering","HFILG82","BA (Honours) in Film & Documentary","8","2","3"
"Dept of Electronic and Electrical Engineering","HFILG82","Gr A BA (Honours) in Film & Documentary","8","2","4"
"Dept of Electronic and Electrical Engineering","HFILG82","Gr B BA (Honours) in Film & Documentary","8","2","4"
"Dept of Electronic and Electrical Engineering","HFILG82","Gr C BA (Honours) in Film & Documentary","8","2","4"
"Dept of Electronic and Electrical Engineering","HFILG83","BA (Honours) in Film & Documentary","8","3","5"
"Dept of Electronic and Electrical Engineering","HFITG83","Gr A BA in Film & TV","8","3","6"
"Dept of Electronic and Electrical Engineering","HFITG83","Gr B BA in Film & TV","8","3","6"
"Dept of Electronic and Electrical Engineering","HFITG83","Gr C BA in Film & TV","8","3","6"
"Dept of Electronic and Electrical Engineering","HFITG83","Gr D BA in Film & TV","8","3",""
"Dept of Heritage and Tourism","AARPG74","BA in Art & Design Flexible Mode","","4",""
"Dept of Heritage and Tourism","AARPG75","BA in Art & Design Flexible Mode","","5",""
"Dept of Heritage and Tourism","AARPG76","BA in Art & Design Flexible Mode","","6",""
"Dept of Heritage and Tourism","AARTG73","BA in Art & Design Ceramics","7","3",""
"Dept of Heritage and Tourism","AARTG73","BA in Art & Design Painting","7","3",""
"Dept of Heritage and Tourism","AARTG73","BA in Art & Design Printmaking","7","3",""
"Dept of Heritage and Tourism","AARTG73","BA in Art & Design Sculpture","7","3",""
"Dept of Heritage and Tourism","AARTG73","BA in Art & Design Textiles","7","3",""
"Dept of Heritage and Tourism","ACONG71","Gr A BA in Contemporary Art","7","1","1"
"Dept of Heritage and Tourism","ACONG71","Gr B BA in Contemporary Art","7","1","1"
"Dept of Heritage and Tourism","ACONG71","Gr C BA in Contemporary Art","7","1","1"
"Dept of Heritage and Tourism","ACONG71","Gr C BA in Contemporary Art","7","1","2"
"Dept of Heritage and Tourism","ACONG72","BA in Contemporary Art  Gr B","7","2","3"
"Dept of Heritage and Tourism","ACONG72","BA in Contemporary Art Gr A","7","2","3"
"Dept of Heritage and Tourism","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Heritage and Tourism","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Heritage and Tourism","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Heritage and Tourism","ACONG82","BA (Honours) in Contemporary Art","8","2","4"
"Dept of Heritage and Tourism","ACONGG71","Gr A BA in Contemporary Art","7","1","2"
"Dept of Heritage and Tourism","ACONGG71","Gr B BA in Contemporary Art","7","1","2"
"Dept of Heritage and Tourism","ACREG95","MA-CP-1","","",""
"Dept of Heritage and Tourism","ACREG95","MA-CP-2","","",""
"Dept of Heritage and Tourism","ACREG95","MA-CP-3","","",""
"Dept of Heritage and Tourism","ACREG95","MA-CP-4","","",""
"Dept of Heritage and Tourism","AFING84","BA in Fine Art Ceramics","8","4",""
"Dept of Heritage and Tourism","AFING84","BA in Fine Art Painting","8","4",""
"Dept of Heritage and Tourism","AFING84","BA in Fine Art Printmaking","8","4",""
"Dept of Heritage and Tourism","AFING84","BA in Fine Art Sculpture","8","4",""
"Dept of Heritage and Tourism","DDESG71","Gr D BA in Contemporary Art","7","1","1"
"Dept of Heritage and Tourism","DDESG71","Gr D BA in Contemporary Art","7","1","2"
"Dept of Heritage and Tourism","DDESG71","Gr E BA in Contemporary Art","7","1","1"
"Dept of Heritage and Tourism","DDESG71","Gr E BA in Contemporary Art","7","1","2"
"Dept of Heritage and Tourism","DDESG71","Gr F BA in Contemporary Art","7","1","1"
"Dept of Heritage and Tourism","DDESG71","Gr F BA in Contemporary Art","7","1","2"
"Dept of Heritage and Tourism","DDESG72","BA in Contemporary Art","7","2","4"
"Dept of Heritage and Tourism","DDESG72","Gr C BA in Contemporary Art","7","2","3"
"Dept of Heritage and Tourism","DDESG72","Gr D BA in Contemporary Art","7","2","3"
"Dept of Heritage and Tourism","DTEXT84","BA in Honours in Design in Textiles","8","4",""
"Dept of Heritage and Tourism","HFILG81","BA (Honours) in Film & Documentary","8","1","1"
"Dept of Heritage and Tourism","HFILG81A","BA (Honours) in Film & Documentary","8","1","2"
"Dept of Heritage and Tourism","HFILG81B","BA (Honours) in Film & Documentary","8","1","2"
"Dept of Heritage and Tourism","HFILG81C","BA (Honours) in Film & Documentary","8","1","2"
"Dept of Heritage and Tourism","HFILG82","BA (Honours) in Film & Documentary","8","2","3"
"Dept of Heritage and Tourism","HFILG82","Gr A BA (Honours) in Film & Documentary","8","2","4"
"Dept of Heritage and Tourism","HFILG82","Gr B BA (Honours) in Film & Documentary","8","2","4"
"Dept of Heritage and Tourism","HFILG82","Gr C BA (Honours) in Film & Documentary","8","2","4"
"Dept of Heritage and Tourism","HFILG83","BA (Honours) in Film & Documentary","8","3","5"
"Dept of Heritage and Tourism","HFITG83","Gr A BA in Film & TV","8","3","6"
"Dept of Heritage and Tourism","HFITG83","Gr B BA in Film & TV","8","3","6"
"Dept of Heritage and Tourism","HFITG83","Gr C BA in Film & TV","8","3","6"
"Dept of Heritage and Tourism","HFITG83","Gr D BA in Film & TV","8","3",""
"Dept of Life and Physical Sciences","AARPG74","BA in Art & Design Flexible Mode","","4",""
"Dept of Life and Physical Sciences","AARPG75","BA in Art & Design Flexible Mode","","5",""
"Dept of Life and Physical Sciences","AARPG76","BA in Art & Design Flexible Mode","","6",""
"Dept of Life and Physical Sciences","AARTG73","BA in Art & Design Ceramics","7","3",""
"Dept of Life and Physical Sciences","AARTG73","BA in Art & Design Painting","7","3",""
"Dept of Life and Physical Sciences","AARTG73","BA in Art & Design Printmaking","7","3",""
"Dept of Life and Physical Sciences","AARTG73","BA in Art & Design Sculpture","7","3",""
"Dept of Life and Physical Sciences","AARTG73","BA in Art & Design Textiles","7","3",""
"Dept of Life and Physical Sciences","ACONG71","Gr A BA in Contemporary Art","7","1","1"
"Dept of Life and Physical Sciences","ACONG71","Gr B BA in Contemporary Art","7","1","1"
"Dept of Life and Physical Sciences","ACONG71","Gr C BA in Contemporary Art","7","1","1"
"Dept of Life and Physical Sciences","ACONG71","Gr C BA in Contemporary Art","7","1","2"
"Dept of Life and Physical Sciences","ACONG72","BA in Contemporary Art  Gr B","7","2","3"
"Dept of Life and Physical Sciences","ACONG72","BA in Contemporary Art Gr A","7","2","3"
"Dept of Life and Physical Sciences","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Life and Physical Sciences","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Life and Physical Sciences","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Life and Physical Sciences","ACONG82","BA (Honours) in Contemporary Art","8","2","4"
"Dept of Life and Physical Sciences","ACONGG71","Gr A BA in Contemporary Art","7","1","2"
